Region,Year,adolescent_fertility,"Fertility rate, total (births per woman)",gdp_per_capita,school_enrollment_primary,school_enrollment_secondary,school_enrollment_tertiary
Africa Eastern and Southern,1974,152.504672544408,6.8204292608423,421.977184738244,65.1553421020508,17.7034091949463,1.95048999786377
Africa Eastern and Southern,1975,151.86791415169,6.8051717747318,435.977901648087,67.497802734375,18.2366905212402,1.99505996704102
Africa Eastern and Southern,1976,150.533608687468,6.7859950559852,430.261243729322,68.9899368286133,18.6968803405762,2.02551007270813
Africa Eastern and Southern,1977,148.93109556429,6.76794302629266,468.301006855768,70.8362579345703,19.1301593780518,2.05232000350952
Africa Eastern and Southern,1978,146.644103471495,6.7504028151318,509.479881706338,71.9246215820312,19.7233390808105,2.12987995147705
Africa Eastern and Southern,1979,145.484720348173,6.73027624410496,578.563220048066,74.7244415283203,20.328670501709,2.17006993293762
Africa Eastern and Southern,1980,143.75343754838,6.70462343655892,728.089032364032,77.7022705078125,21.0221405029297,2.22383999824524
Africa Eastern and Southern,1981,142.558131825617,6.67236184299929,747.045457327748,79.324836730957,21.5330104827881,2.25886988639832
Africa Eastern and Southern,1982,141.191950820555,6.63848913659031,689.942670834929,79.6594161987305,22.3808002471924,2.35362005233765
Africa Eastern and Southern,1983,139.763806631955,6.60440812756985,711.678240716245,79.5842437744141,23.0288600921631,2.37891006469727
Africa Eastern and Southern,1984,138.785843258905,6.56569583279938,638.748097266477,78.8858489990234,23.7371406555176,2.47049999237061
Africa Eastern and Southern,1985,137.953223122652,6.51495731969789,534.63657158749,76.6655883789062,24.5039596557617,2.57978010177612
Africa Eastern and Southern,1986,136.12847932477,6.46430997609552,560.769811627585,76.4804306030273,24.7361793518066,2.71320009231567
Africa Eastern and Southern,1987,135.346146015478,6.41948882490515,653.141414479377,74.642692565918,24.7653102874756,2.83267998695374
Africa Eastern and Southern,1988,133.911118066723,6.34494192180498,690.218354018774,73.8232116699219,24.661600112915,2.94925999641418
Africa Eastern and Southern,1989,132.422604235282,6.26383763791519,712.241039213014,75.0681686401367,24.1962203979492,3.10331010818481
Africa Eastern and Southern,1990,132.845311378448,6.1666084334135,810.646700079806,72.5151596069336,24.4128704071045,3.13509011268616
Africa Eastern and Southern,1991,131.922595134796,6.09985759242091,858.727618633322,73.8209991455078,24.7756805419922,3.25391006469727
Africa Eastern and Southern,1992,128.650226745135,6.0283389272847,732.360417834814,72.2410278320312,24.415060043335,3.35310006141663
Africa Eastern and Southern,1993,129.800646275656,5.95897282189694,715.892117172597,72.244270324707,24.5828495025635,3.5731999874115
Africa Eastern and Southern,1994,128.792351238038,5.89744192793445,707.177201584469,72.1010284423828,25.0341796875,3.76291990280151
Africa Eastern and Southern,1995,127.306550787239,5.84475912907833,773.575368635221,73.8614196777344,25.8681907653809,3.68391990661621
Africa Eastern and Southern,1996,128.239448076508,5.77486441162948,750.771355723696,73.7845077514648,26.2008209228516,3.63452005386353
Africa Eastern and Southern,1997,125.26199777544,5.7014655364271,774.549634806529,77.6629180908203,26.319450378418,3.60538005828857
Africa Eastern and Southern,1998,123.860302659944,5.64322172546997,704.277315719787,77.8437271118164,27.1694602966309,3.59977006912231
Africa Eastern and Southern,1999,124.958023564541,5.58698766539404,678.004155967361,76.8383483886719,27.4339294433594,3.65201997756958
Africa Eastern and Southern,2000,123.134769131908,5.52355316105243,715.142507332877,78.7392196655273,27.6004199981689,3.88636994361877
Africa Eastern and Southern,2001,123.629170417788,5.48162442450645,633.473381647953,81.9689865112305,28.6678905487061,4.20995998382568
